payment_id,rows_count,first_date,last_date,transaction_types,source,is_sale_api,sale_reason,status,status_detail,operation_type,order_id,gross_amount,commission_calc,shipping_calc,launch_net_calc,net_api,extrato_sum,diff_extrato_vs_launch,money_release_date,money_release_status,fetch_error
139809851929,5,22-01-2026,27-01-2026,mediation | payment | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014549599084,54.77,13.32,0.0,41.45,41.45,0.0,-41.45,2026-01-22,released,
139828603071,3,17-01-2026,21-01-2026,payment | reserve_for_dispute,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014551784462,27.55,9.11,0.0,18.44,18.44,18.44,0.0,2026-01-17,released,
139859417764,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014503324760,519.99,62.4,24.95,432.64,432.64,432.64,0.0,2026-01-10,released,
139859500746,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014503330064,519.99,62.4,24.95,432.64,432.64,432.64,0.0,2026-01-10,released,
139903567974,1,14-01-2026,14-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014507046522,25.7,8.53,0.0,17.17,17.17,17.17,0.0,2026-01-14,released,
139911202778,1,20-01-2026,20-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014507818668,645.9,77.51,24.95,543.44,543.44,543.44,0.0,2026-01-20,released,
139930660133,3,23-01-2026,23-01-2026,mediation | payment | refund,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014561818900,412.74,36.77,23.45,352.52,352.52,-0.0,-352.52,2026-01-23,released,
139954665364,1,18-01-2026,18-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014511628356,20.79,9.78,0.0,11.01,11.01,11.01,0.0,2026-01-18,released,
139955824830,1,16-01-2026,16-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014511697228,237.4,28.49,22.45,186.46,186.46,186.46,0.0,2026-01-16,released,
139959098708,1,20-01-2026,20-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014511960006,82.64,9.92,12.87,59.85,59.85,59.85,0.0,2026-01-20,released,
139966584410,1,14-01-2026,14-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014512632448,40.9,11.41,0.0,29.49,29.49,29.49,0.0,2026-01-14,released,
139967880194,1,13-01-2026,13-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014512741644,404.44,36.02,23.45,344.97,344.97,344.97,0.0,2026-01-13,released,
139977496192,1,18-01-2026,18-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014513954282,303.05,36.37,24.95,241.73,241.73,241.73,0.0,2026-01-18,released,
139994063175,1,26-01-2026,26-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014569273854,30.3,9.7,0.0,20.6,19.08,19.08,-1.52,2026-01-26,released,
139994104927,1,25-01-2026,25-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014569325786,41.58,19.56,0.0,22.02,22.02,22.02,0.0,2026-01-25,released,
